aircraft_id,question,answer
F22,What is the Name of F22?,F22 Name
F22,What is the FullDesignation of F22?,F22 Full Designation
F22,What is the Manufacturer of F22?,Dassault
F22,What is the FirstIntroduced of F22?,2005
F22,What is the CountryOfOrigin of F22?,China
F22,What is the MaxSpeed of F22?,1814 km/h
F22,What is the Range of F22?,9777 km
F22,What is the ServiceCeiling of F22?,12546 m
F22,What is the EngineType of F22?,Turboprop
F22,What is the Weight of F22?,"69113 kg (empty), 110077 kg (max)"
F22,What is the Dimensions of F22?,"27 m length, 49 m wingspan"
F22,What is the Role of F22?,Surveillance
F22,What is the SurveillanceCapable of F22?,No
F22,What is the NuclearCapable of F22?,Yes
F22,What is the WeaponsPayload of F22?,Missiles
F22,What is the TransportCapacity of F22?,63 personnel or 7505 kg cargo
F22,What is the Operators of F22?,Global
F22,What is the CombatHistory of F22?,Yes
F22,What is the NotableMissions of F22?,F22 participated in major operations.
F22,What is the ActiveService of F22?,Yes
F22,What is the Comparison of F22?,F22 is often compared with F35.
F22,What is the BetterThan of F22?,F22 is better than older gen aircraft.
F22,What is the StealthCapable of F22?,No
F22,What is the DifferenceFrom of F22?,F22 differs from Su34 in design and avionics.
F22,What is the MannedOrUnmanned of F22?,Unmanned
F22,What is the InterestingFacts of F22?,F22 has unique stealth tech.
F22,What is the UniqueFeatures of F22?,F22 supports vertical takeoff or special radar systems.
Mi24,What is the Name of Mi24?,Mi24 Name
Mi24,What is the FullDesignation of Mi24?,Mi24 Full Designation
Mi24,What is the Manufacturer of Mi24?,Sukhoi
Mi24,What is the FirstIntroduced of Mi24?,2010
Mi24,What is the CountryOfOrigin of Mi24?,France
Mi24,What is the MaxSpeed of Mi24?,1750 km/h
Mi24,What is the Range of Mi24?,14204 km
Mi24,What is the ServiceCeiling of Mi24?,13932 m
Mi24,What is the EngineType of Mi24?,Turboprop
Mi24,What is the Weight of Mi24?,"33309 kg (empty), 91098 kg (max)"
Mi24,What is the Dimensions of Mi24?,"39 m length, 49 m wingspan"
Mi24,What is the Role of Mi24?,Surveillance
Mi24,What is the SurveillanceCapable of Mi24?,No
Mi24,What is the NuclearCapable of Mi24?,Yes
Mi24,What is the WeaponsPayload of Mi24?,Machine Guns
Mi24,What is the TransportCapacity of Mi24?,88 personnel or 46925 kg cargo
Mi24,What is the Operators of Mi24?,"France, Germany"
Mi24,What is the CombatHistory of Mi24?,Yes
Mi24,What is the NotableMissions of Mi24?,Mi24 participated in major operations.
Mi24,What is the ActiveService of Mi24?,Yes
Mi24,What is the Comparison of Mi24?,Mi24 is often compared with F35.
Mi24,What is the BetterThan of Mi24?,Mi24 is better than older gen aircraft.
Mi24,What is the StealthCapable of Mi24?,No
Mi24,What is the DifferenceFrom of Mi24?,Mi24 differs from Su34 in design and avionics.
Mi24,What is the MannedOrUnmanned of Mi24?,Manned
Mi24,What is the InterestingFacts of Mi24?,Mi24 has unique stealth tech.
