AircraftID,Name,FullDesignation,Manufacturer,FirstIntroduced,CountryOfOrigin,MaxSpeed,Range,ServiceCeiling,EngineType,Weight,Dimensions,Role,SurveillanceCapable,NuclearCapable,WeaponsPayload,TransportCapacity,Operators,CombatHistory,NotableMissions,ActiveService,Comparison,BetterThan,StealthCapable,DifferenceFrom,MannedOrUnmanned,InterestingFacts,UniqueFeatures
F22,F22 Name,F22 Full Designation,Dassault,2005,China,1814 km/h,9777 km,12546 m,Turboprop,"69113 kg (empty), 110077 kg (max)","27 m length, 49 m wingspan",Surveillance,No,Yes,Missiles,63 personnel or 7505 kg cargo,Global,Yes,F22 participated in major operations.,Yes,F22 is often compared with F35.,F22 is better than older gen aircraft.,No,F22 differs from Su34 in design and avionics.,Unmanned,F22 has unique stealth tech.,F22 supports vertical takeoff or special radar systems.
Mi24,Mi24 Name,Mi24 Full Designation,Sukhoi,2010,France,1750 km/h,14204 km,13932 m,Turboprop,"33309 kg (empty), 91098 kg (max)","39 m length, 49 m wingspan",Surveillance,No,Yes,Machine Guns,88 personnel or 46925 kg cargo,"France, Germany",Yes,Mi24 participated in major operations.,Yes,Mi24 is often compared with F35.,Mi24 is better than older gen aircraft.,No,Mi24 differs from Su34 in design and avionics.,Manned,Mi24 has unique stealth tech.,Mi24 supports vertical takeoff or special radar systems.
An124,An124 Name,An124 Full Designation,Boeing,2020,UK,1957 km/h,2197 km,10523 m,Rotary,"55628 kg (empty), 68241 kg (max)","36 m length, 55 m wingspan",Fighter,Yes,No,Machine Guns,39 personnel or 39238 kg cargo,"USA, UK",Yes,An124 participated in major operations.,No,An124 is often compared with F35.,An124 is better than older gen aircraft.,No,An124 differs from Su34 in design and avionics.,Manned,An124 has unique stealth tech.,An124 supports vertical takeoff or special radar systems.
TB2,TB2 Name,TB2 Full Designation,Sukhoi,1995,China,1088 km/h,8425 km,13678 m,Turbojet,"45460 kg (empty), 140507 kg (max)","29 m length, 51 m wingspan",Reconnaissance,No,No,Bombs,23 personnel or 44627 kg cargo,"France, Germany",No,TB2 participated in major operations.,Yes,TB2 is often compared with F35.,TB2 is better than older gen aircraft.,No,TB2 differs from Su34 in design and avionics.,Manned,TB2 has unique stealth tech.,TB2 supports vertical takeoff or special radar systems.
Tu160,Tu160 Name,Tu160 Full Designation,Dassault,1995,USA,2144 km/h,7668 km,22112 m,Rotary,"25754 kg (empty), 39469 kg (max)","11 m length, 53 m wingspan",Fighter,No,Yes,Bombs,31 personnel or 4265 kg cargo,"USA, UK",Yes,Tu160 participated in major operations.,No,Tu160 is often compared with F35.,Tu160 is better than older gen aircraft.,Yes,Tu160 differs from Su34 in design and avionics.,Manned,Tu160 has unique stealth tech.,Tu160 supports vertical takeoff or special radar systems.
Mi26,Mi26 Name,Mi26 Full Designation,Airbus,2005,France,2010 km/h,12023 km,18319 m,Turboprop,"40310 kg (empty), 48022 kg (max)","29 m length, 28 m wingspan",Reconnaissance,Yes,Yes,Torpedoes,9 personnel or 40896 kg cargo,"France, Germany",Yes,Mi26 participated in major operations.,No,Mi26 is often compared with F35.,Mi26 is better than older gen aircraft.,Yes,Mi26 differs from Su34 in design and avionics.,Unmanned,Mi26 has unique stealth tech.,Mi26 supports vertical takeoff or special radar systems.
RQ4,RQ4 Name,RQ4 Full Designation,Airbus,2020,USA,2509 km/h,3276 km,22853 m,Turbojet,"38109 kg (empty), 69320 kg (max)","38 m length, 59 m wingspan",Reconnaissance,No,No,Bombs,79 personnel or 18917 kg cargo,"Russia, China",No,RQ4 participated in major operations.,Yes,RQ4 is often compared with F35.,RQ4 is better than older gen aircraft.,Yes,RQ4 differs from Su34 in design and avionics.,Unmanned,RQ4 has unique stealth tech.,RQ4 supports vertical takeoff or special radar systems.
Su25,Su25 Name,Su25 Full Designation,Airbus,1980,UK,1613 km/h,12970 km,24032 m,Turboprop,"62292 kg (empty), 96322 kg (max)","15 m length, 47 m wingspan",Surveillance,Yes,No,Torpedoes,75 personnel or 8598 kg cargo,"France, Germany",Yes,Su25 participated in major operations.,No,Su25 is often compared with F35.,Su25 is better than older gen aircraft.,Yes,Su25 differs from Su34 in design and avionics.,Unmanned,Su25 has unique stealth tech.,Su25 supports vertical takeoff or special radar systems.
Mi8,Mi8 Name,Mi8 Full Designation,Dassault,1995,Russia,954 km/h,2804 km,20063 m,Turboprop,"32485 kg (empty), 106036 kg (max)","13 m length, 41 m wingspan",Bomber,No,No,Torpedoes,95 personnel or 15323 kg cargo,"USA, UK",Yes,Mi8 participated in major operations.,Yes,Mi8 is often compared with F35.,Mi8 is better than older gen aircraft.,No,Mi8 differs from Su34 in design and avionics.,Manned,Mi8 has unique stealth tech.,Mi8 supports vertical takeoff or special radar systems.
Be200,Be200 Name,Be200 Full Designation,Lockheed Martin,1980,Russia,2031 km/h,7515 km,23699 m,Turbojet,"65485 kg (empty), 31232 kg (max)","28 m length, 56 m wingspan",Transport,No,No,Torpedoes,35 personnel or 16005 kg cargo,Global,No,Be200 participated in major operations.,No,Be200 is often compared with F35.,Be200 is better than older gen aircraft.,No,Be200 differs from Su34 in design and avionics.,Unmanned,Be200 has unique stealth tech.,Be200 supports vertical takeoff or special radar systems.
